date,1. open,2. high,3. low,4. close,5. volume
2018-09-19,1116.7338,1118.557,1095.0372,1103.333,1739032.0
2018-09-18,1115.8222,1129.4054,1106.934,1109.6232,634814.0
2018-09-17,1141.2564,1141.2564,1112.6316,1117.8734,750979.0
2018-09-14,1149.5522,1162.3148,1138.2024,1142.0768,594060.0
2018-09-12,1134.4648,1146.4982,1121.1552,1141.9856,927311.0
2018-09-11,1148.6404,1155.7056,1125.85,1128.995,739016.0
2018-09-10,1162.3148,1163.9102,1140.9374,1146.0424,693515.0
2018-09-07,1155.66,1166.7818,1143.9456,1163.9102,869120.0
2018-09-06,1121.292,1152.1046,1117.6454,1148.7772,1128536.0
2018-09-05,1134.9662,1141.7578,1103.0596,1117.4632,2430874.0
2018-09-04,1125.85,1143.8544,1121.292,1132.5504,875517.0
2018-09-03,1138.6126,1146.8172,1119.0128,1121.6566,2464929.0
2018-08-31,1161.2208,1161.2208,1127.7188,1131.2742,2592485.0
2018-08-30,1185.1052,1185.1052,1158.167,1161.4944,3639497.0
2018-08-29,1202.426,1211.3144,1176.2626,1180.0458,1152001.0
2018-08-28,1183.9658,1206.0726,1181.003,1201.6968,978697.0
2018-08-27,1166.9184,1181.6412,1166.8728,1177.4476,583405.0
2018-08-24,1153.1986,1166.8728,1149.461,1165.0952,763943.0
2018-08-23,1134.0546,1160.993,1129.1318,1157.4832,735176.0
2018-08-21,1126.7616,1140.436,1118.6938,1136.3336,864101.0
2018-08-20,1099.8688,1128.6304,1099.8688,1125.7588,1133349.0
2018-08-17,1099.413,1107.6176,1094.1712,1097.0884,385572.0
2018-08-16,1099.7776,1108.2558,1090.5248,1094.1256,653575.0
2018-08-14,1082.2746,1108.8938,1080.497,1103.9256,632072.0
2018-08-13,1096.6782,1096.6782,1078.4914,1082.229,451159.0
2018-08-10,1107.6176,1107.8912,1095.721,1097.5898,345452.0
2018-08-09,1112.1758,1122.6594,1104.8828,1110.307,1067169.0
2018-08-08,1083.3686,1113.999,1081.1806,1109.6688,964498.0
2018-08-07,1090.2968,1093.9434,1074.1612,1078.9472,424647.0
2018-08-06,1075.711,1090.2968,1071.0162,1086.1946,540965.0
2018-08-03,1071.1528,1079.2206,1066.139,1072.7482,562938.0
2018-08-02,1086.9694,1088.9294,1062.9482,1065.0906,567231.0
2018-08-01,1089.3852,1096.6326,1081.135,1085.8756,1030968.0
2018-07-31,1048.3624,1084.8272,1043.8042,1081.044,2352554.0
2018-07-30,1035.5996,1055.245,1027.0304,1048.0888,1439941.0
2018-07-27,1018.4612,1036.5114,1014.4502,1029.7654,903236.0
2018-07-26,1014.6324,1021.9254,1009.8008,1012.2166,310987.0
2018-07-25,1013.9488,1023.1106,1006.9292,1015.5896,535064.0
2018-07-24,1022.837,1026.5746,1009.7552,1012.399,616594.0
2018-07-23,1029.8564,1030.13,1015.544,1021.1506,415416.0
2018-07-20,1012.3534,1037.6508,1012.3534,1028.8082,902105.0
2018-07-19,998.2232,1015.544,990.748,1006.3368,1571921.0
2018-07-18,1000.867,1006.8836,983.6374,994.1666,562488.0
2018-07-17,983.6374,998.2232,974.658,995.215,581198.0
2018-07-16,1001.0038,1010.5302,978.1676,981.0392,902142.0
2018-07-13,987.1926,1009.3906,985.3694,999.8186,1765605.0
2018-07-12,950.9558,1001.6874,950.9558,986.5546,2767099.0
2018-07-11,934.41,946.8992,927.117,944.7568,818832.0
2018-07-10,912.9868,937.6006,912.9868,935.0936,1233479.0
2018-07-09,898.401,910.4344,896.3954,907.6538,581657.0
2018-07-06,880.5332,895.6206,879.5304,890.1964,679471.0
2018-07-05,910.4344,919.3682,875.2458,879.7128,2605270.0
2018-07-04,888.6466,904.3264,886.094,902.5488,680719.0
2018-07-03,878.8012,891.7918,876.0662,885.7294,453997.0
2018-07-02,887.0058,887.4616,872.9212,876.1118,420837.0
2018-06-29,867.8618,891.336,865.765,886.9602,656393.0
2018-06-28,879.7584,883.3592,858.153,861.2068,575057.0
2018-06-27,893.387,898.6288,875.6104,879.9862,714971.0
2018-06-26,914.9012,916.2232,889.2848,892.202,744780.0
2018-06-25,927.117,927.117,913.3972,914.8556,425822.0
2018-06-22,938.968,938.968,919.4594,922.8324,13436788.0
2018-06-21,932.5866,944.2554,930.2164,941.1104,897122.0
2018-06-20,908.4288,931.4472,907.973,929.8062,688310.0
2018-06-19,925.2938,925.2938,905.2836,907.6538,477346.0
2018-06-18,921.465,928.5756,918.639,925.2938,590381.0
2018-06-15,918.4566,933.0426,911.3916,924.2454,833731.0
2018-06-14,908.1552,922.2854,900.8624,918.4566,593708.0
2018-06-13,910.7078,916.0864,902.5032,913.5338,693913.0
2018-06-12,895.3926,909.7962,893.7972,907.426,491279.0
2018-06-11,897.3526,911.1636,891.7462,895.6206,1680658.0
2018-06-08,883.268,899.3126,875.656,896.4866,537678.0
2018-06-07,870.5966,889.376,870.5966,885.5472,666246.0
2018-06-06,865.0356,870.9612,859.247,869.138,370860.0
2018-06-05,858.0618,870.5966,858.0162,864.0784,584366.0
2018-06-04,852.1818,860.3408,849.6294,856.3298,3772716.0
2018-06-01,839.875,852.273,837.8694,847.0768,4108578.0
2018-05-31,838.0974,842.3364,835.4992,839.875,4071618.0
2018-05-30,833.2202,841.2424,826.93,836.274,973506.0
2018-05-29,838.7354,845.8916,833.357,835.955,459085.0
2018-05-28,841.9262,845.208,837.7326,839.6016,2732580.0
2018-05-25,836.9122,842.5642,834.6788,840.2852,353537.0
2018-05-24,835.6816,839.556,830.3486,835.089,481507.0
2018-05-23,845.0712,845.1624,828.7076,831.6248,556508.0
2018-05-22,850.541,851.6348,842.7922,844.98,445996.0
2018-05-21,849.6294,852.7288,840.5132,849.5838,470665.0
2018-05-18,862.392,869.2748,849.1736,850.9056,979002.0
2018-05-17,875.0636,875.7928,859.2014,861.6172,2855710.0
2018-05-16,890.014,890.014,870.0496,871.9184,2601959.0
2018-05-15,893.387,910.9814,890.6522,892.7946,615932.0
2018-05-14,906.0586,906.0586,890.1052,897.8084,337417.0
2018-05-11,895.9396,902.64,890.8802,901.1358,693917.0
2018-05-10,890.7434,897.0336,888.3732,894.0252,645997.0
2018-05-09,882.1286,895.8028,876.978,889.1024,673668.0
2018-05-08,887.5072,895.2102,879.8496,882.1286,681835.0
2018-05-07,873.3314,887.9174,871.964,885.9574,708454.0
2018-05-04,878.7556,879.257,865.7194,869.5938,362862.0
2018-05-03,890.6522,892.2932,874.5166,877.5248,646046.0
2018-05-02,883.177,891.7462,880.8522,887.0058,625589.0
2018-04-30,897.6716,904.3264,876.0662,877.9806,1109434.0
2018-04-27,900.908,921.3738,900.908,906.8334,2206202.0
2018-04-26,886.094,900.68,878.2542,889.148,1072029.0
2018-04-25,886.5954,894.709,879.257,884.909,858858.0
2018-04-24,854.8256,888.3732,852.3642,884.043,1032331.0
2018-04-23,845.3448,859.6116,844.1596,852.501,321179.0
2018-04-20,856.0106,858.3808,840.0118,846.0284,433942.0
2018-04-19,855.2814,860.5232,852.4554,858.0618,739036.0
2018-04-18,861.4804,864.4432,851.4526,854.1874,415026.0
2018-04-17,855.327,863.7594,853.367,860.2952,737058.0
2018-04-16,852.3642,856.8312,846.2564,854.4154,297632.0
2018-04-13,848.8544,858.1986,846.9856,855.874,1461474.0
2018-04-12,847.806,852.6376,841.516,845.5726,769392.0
2018-04-11,838.781,848.7178,835.636,846.94,893975.0
2018-04-10,836.8666,840.9234,832.6276,835.4536,1047554.0
2018-04-09,832.263,836.6388,830.85,835.089,585208.0
2018-04-06,829.4826,836.1374,825.0156,829.3458,850160.0
2018-04-05,822.7822,829.5736,822.7822,826.611,940136.0
2018-04-04,825.4714,830.622,813.4836,815.9906,376206.0
2018-04-03,811.3414,821.3692,807.786,819.3636,347665.0
2018-04-02,811.7972,821.5514,808.0594,813.8026,948864.0
2018-03-28,815.945,816.811,803.1368,804.7776,654645.0
2018-03-27,825.0612,829.6192,818.1784,820.412,606457.0
2018-03-26,813.9394,824.5598,813.1646,821.4146,1145342.0
2018-03-23,814.4408,820.184,811.3414,813.9394,840462.0
2018-03-22,817.2668,830.1206,816.0818,827.1124,1637299.0
2018-03-21,816.6286,822.2352,813.1646,817.13,513813.0
2018-03-20,819.637,823.7394,808.6064,810.931,576775.0
2018-03-19,823.9216,826.0184,813.4836,816.1728,547616.0
2018-03-16,829.5736,829.5736,808.0594,820.9134,1240168.0
2018-03-15,846.621,846.621,829.5736,831.6248,695086.0
2018-03-14,844.661,848.9,838.2796,846.5298,355350.0
2018-03-13,847.2136,852.6832,840.1484,848.353,397630.0
2018-03-12,837.6872,850.541,835.2258,847.2136,582531.0
2018-03-09,834.1318,837.7782,829.5736,831.4426,359682.0
2018-03-08,820.184,833.129,815.2612,831.0322,631739.0
2018-03-07,828.2974,828.9356,809.7916,812.7544,681187.0
2018-03-06,847.5326,853.2758,823.3292,830.3942,581715.0
2018-03-05,861.0246,865.9474,840.5132,842.5186,1317487.0
2018-03-01,866.8134,874.0608,862.392,863.9418,350867.0
2018-02-28,861.0246,870.5054,854.1874,868.272,467652.0
2018-02-27,856.0106,871.0524,855.646,865.9928,690905.0
2018-02-26,853.367,861.2524,853.367,855.646,399314.0
2018-02-23,842.5186,854.1874,842.1084,851.4526,412587.0
2018-02-22,841.5614,848.4898,838.6898,842.2452,326078.0
2018-02-21,845.0712,848.7178,840.5132,846.302,406270.0
2018-02-20,845.9828,847.806,835.0434,838.143,369820.0
2018-02-19,838.9634,848.353,833.5848,844.0228,483170.0
2018-02-16,854.5064,858.7456,837.4592,840.2396,486839.0
2018-02-15,853.3214,861.4804,846.2564,851.4982,631446.0
2018-02-14,840.194,858.2898,839.4192,849.994,866367.0
2018-02-12,821.4602,836.8666,821.4602,833.8584,715012.0
2018-02-09,813.119,822.5086,808.1506,818.5886,812279.0
2018-02-08,817.13,829.5736,813.2102,823.7394,842596.0
2018-02-07,820.9588,825.4714,811.8426,814.9878,756582.0
2018-02-06,802.2252,818.5886,795.0234,813.8482,2102371.0
2018-02-05,816.6286,831.397,804.6864,824.5142,780325.0
2018-02-02,855.7372,859.885,823.1924,825.6538,1415834.0
2018-02-01,879.1658,885.4104,855.2814,860.66,1531702.0
2018-01-31,866.0384,879.6216,858.7456,876.203,922823.0
2018-01-30,878.8012,879.0746,861.9818,865.3548,1401240.0
2018-01-29,880.6244,890.242,875.2458,878.6188,844036.0
2018-01-25,884.2708,885.5928,872.6478,879.3026,851963.0
2018-01-24,895.1192,895.1192,875.6104,879.3026,891869.0
2018-01-23,888.829,902.5032,888.829,894.9368,1351954.0
2018-01-22,864.671,888.3732,857.0134,885.3648,3581241.0
